ID,Site,Species,RB,Abs15.R1,Abs15.R2,Abs15.R3,Abs30.R1,Abs30.R2,Abs30.R3,Abs60.R1,Abs60.R2,Abs60.R3,Abs90.R1,Abs90.R2,Abs90.R3,Date
INT-AT-01,Intermediate,Archaster typicus,1.3,0.067,0.076,0.05,0.099,0.087,0.118,0.058,0.078,0.057,0.06,0.062,0.052,03/12/2024
INT-AT-02,Intermediate,Archaster typicus,1.39,0.059,0.091,0.055,0.118,0.093,0.099,0.11,0.105,0.069,0.068,0.062,0.059,03/12/2024
INT-AT-03,Intermediate,Archaster typicus,1.01,0.055,0.088,0.06,0.092,0.068,0.091,0.137,0.089,0.088,0.084,0.099,0.088,03/12/2024
INT-AT-04,Intermediate,Archaster typicus,0.32,0.054,0.071,0.055,0.065,0.109,0.124,0.113,0.103,0.08,0.071,0.064,0.053,03/12/2024
INT-AT-05,Intermediate,Archaster typicus,1.36,0.056,0.076,0.05,0.082,0.065,0.091,0.067,0.077,0.064,0.071,0.125,0.075,03/12/2024
INT-AT-06,Intermediate,Archaster typicus,0.47,0.074,0.088,0.058,0.075,0.072,0.078,0.07,0.134,0.07,0.1,0.118,0.076,03/12/2024
INT-AT-07,Intermediate,Archaster typicus,0.57,0.058,0.081,0.069,0.118,0.077,0.099,0.082,0.141,0.071,0.131,0.13,0.086,03/12/2024
INT-AT-08,Intermediate,Archaster typicus,1.1,0.058,0.082,0.06,0.064,0.063,0.061,0.08,0.1,0.063,0.066,0.066,0.053,03/12/2024
INT-AT-09,Intermediate,Archaster typicus,0.43,0.086,0.07,0.048,0.086,0.067,0.082,0.076,0.072,0.064,0.087,0.146,0.083,03/12/2024
INT-AT-10,Intermediate,Archaster typicus,1.56,0.077,0.104,0.05,0.137,0.085,0.639,0.079,0.113,0.076,0.147,0.198,0.093,03/12/2024
INT-AT-11,Intermediate,Archaster typicus,0.43,0.061,0.09,0.051,0.134,0.111,0.108,0.055,0.072,0.06,0.056,0.061,0.058,03/12/2024
INT-AT-12,Intermediate,Archaster typicus,0.36,0.067,0.081,0.067,0.091,0.064,0.093,0.07,0.071,0.059,0.064,0.068,0.057,03/12/2024
INT-AT-13,Intermediate,Archaster typicus,0.48,0.062,0.088,0.05,0.131,0.058,0.081,0.081,0.117,0.069,0.077,0.091,0.061,03/12/2024
INT-AT-14,Intermediate,Archaster typicus,0.58,0.062,0.071,0.052,0.104,0.058,0.124,0.102,0.086,0.079,0.072,0.065,0.057,03/12/2024
INT-AT-15,Intermediate,Archaster typicus,0.58,0.073,0.077,0.058,0.081,0.073,0.127,0.102,0.086,0.085,0.089,0.096,0.151,03/12/2024
INT-AT-16,Intermediate,Archaster typicus,0.38,0.098,0.08,0.071,0.135,0.075,0.234,0.112,0.127,0.09,0.076,0.074,0.084,03/12/2024
INT-AT-17,Intermediate,Archaster typicus,1.01,0.091,0.089,0.06,0.172,0.057,0.088,0.072,1.233,0.077,0.085,0.071,0.087,03/12/2024
INT-AT-18,Intermediate,Archaster typicus,0.42,0.069,0.099,0.078,0.112,0.086,0.126,0.1,0.408,0.075,0.148,0.131,0.123,03/12/2024
INT-AT-19,Intermediate,Archaster typicus,0.47,0.119,0.101,0.07,0.216,0.108,0.11,0.071,0.591,0.079,0.085,0.074,0.059,03/12/2024
INT-AT-20,Intermediate,Archaster typicus,1.24,0.107,0.106,0.058,0.145,0.086,0.2,0.11,0.108,0.074,0.075,0.076,0.067,03/12/2024
INT-PN-01,Intermediate,Protoreaster nodosus,20.17,0.119,0.113,0.125,0.075,0.066,0.158,0.186,0.154,0.164,0.119,0.141,0.222,03/12/2024
INT-PN-02,Intermediate,Protoreaster nodosus,6.55,0.092,0.081,0.106,0.059,0.054,0.122,0.106,0.128,0.139,0.074,0.078,0.211,03/12/2024
INT-PN-03,Intermediate,Protoreaster nodosus,10.12,0.121,0.11,0.082,0.069,0.06,0.063,0.118,0.127,0.087,0.151,0.146,0.233,03/12/2024
INT-PN-04,Intermediate,Protoreaster nodosus,12.24,0.087,0.088,0.093,0.059,0.06,0.071,0.058,0.083,0.125,0.067,0.08,0.149,03/12/2024
INT-PN-05,Intermediate,Protoreaster nodosus,3.27,0.08,0.078,0.077,0.054,0.058,0.083,0.062,0.065,0.056,0.053,0.059,0.175,03/12/2024
INT-PN-06,Intermediate,Protoreaster nodosus,16.29,0.097,0.093,0.093,0.057,0.058,0.108,0.059,0.065,0.058,0.059,0.064,0.202,03/12/2024
INT-PN-07,Intermediate,Protoreaster nodosus,6.49,0.124,0.105,0.082,0.059,0.06,0.06,0.056,0.062,0.06,0.061,0.063,0.203,03/12/2024
INT-PN-08,Intermediate,Protoreaster nodosus,4.54,0.104,0.104,0.076,0.057,0.055,0.074,0.103,0.059,0.062,0.065,0.065,0.186,03/12/2024
INT-PN-09,Intermediate,Protoreaster nodosus,6.24,0.087,0.08,0.103,0.06,0.058,0.189,0.062,0.134,0.078,0.111,0.097,0.271,03/12/2024
INT-PN-10,Intermediate,Protoreaster nodosus,3.2,0.094,0.104,0.089,0.06,0.057,0.123,0.061,0.065,0.064,0.061,0.06,0.206,03/12/2024
INT-PN-11,Intermediate,Protoreaster nodosus,6.5,0.082,0.093,0.102,0.064,0.059,0.066,0.068,0.065,0.069,0.059,0.063,0.184,03/12/2024
INT-PN-12,Intermediate,Protoreaster nodosus,3.59,0.115,0.107,0.088,0.073,0.062,0.074,0.072,0.098,0.134,0.06,0.074,0.192,03/12/2024
INT-PN-13,Intermediate,Protoreaster nodosus,4.1,0.096,0.102,0.078,0.067,0.071,0.118,0.073,0.069,0.082,0.064,0.067,0.2,03/12/2024
INT-PN-14,Intermediate,Protoreaster nodosus,4.37,0.079,0.073,0.078,0.059,0.063,0.073,0.071,0.064,0.096,0.062,0.06,0.209,03/12/2024
INT-PN-15,Intermediate,Protoreaster nodosus,15.52,0.078,0.076,0.104,0.066,0.076,0.076,0.093,0.078,0.075,0.071,0.071,0.216,03/12/2024
INT-PN-16,Intermediate,Protoreaster nodosus,2.37,0.081,0.076,0.094,0.066,0.067,0.082,0.066,0.068,0.066,0.08,0.072,0.192,03/12/2024
INT-PN-17,Intermediate,Protoreaster nodosus,5.13,0.095,0.08,0.096,0.062,0.063,0.078,0.068,0.071,0.081,0.065,0.065,0.197,03/12/2024
INT-PN-18,Intermediate,Protoreaster nodosus,2.48,0.122,0.116,0.074,0.079,0.087,0.078,0.098,0.067,0.075,0.082,0.076,0.167,03/12/2024
INT-PN-19,Intermediate,Protoreaster nodosus,6.37,0.112,0.11,0.071,0.07,0.089,0.069,0.098,0.079,0.066,0.067,0.067,0.168,03/12/2024
INT-PN-20,Intermediate,Protoreaster nodosus,3.08,0.083,0.084,0.09,0.061,0.086,0.266,0.105,0.091,0.07,0.063,0.075,0.263,03/12/2024
INT-LL-01,Intermediate,Linckia laevigata,6.14,0.064,0.078,0.075,0.055,0.069,0.065,0.063,0.067,0.075,0.077,0.089,0.067,03/12/2024
INT-LL-02,Intermediate,Linckia laevigata,11.21,0.066,0.073,0.079,0.057,0.094,0.062,0.057,0.059,0.071,0.065,0.068,0.06,03/12/2024
INT-LL-03,Intermediate,Linckia laevigata,4.48,0.066,0.072,0.068,0.059,0.086,0.066,0.084,0.071,0.086,0.087,0.09,0.086,03/12/2024
INT-LL-04,Intermediate,Linckia laevigata,8.23,0.077,0.079,0.077,0.064,0.064,0.065,0.061,0.08,0.064,0.067,0.061,0.078,03/12/2024
INT-LL-05,Intermediate,Linckia laevigata,7,0.065,0.073,0.083,0.057,0.065,0.058,0.057,0.085,0.065,0.077,0.066,0.084,03/12/2024
INT-LL-06,Intermediate,Linckia laevigata,5.31,0.062,0.078,0.086,0.062,0.072,0.065,0.054,0.068,0.069,0.066,0.073,0.067,03/12/2024
INT-LL-07,Intermediate,Linckia laevigata,7.12,0.069,0.076,0.067,0.062,0.064,0.064,0.066,0.11,0.068,0.075,0.075,0.095,03/12/2024
INT-LL-08,Intermediate,Linckia laevigata,4.59,0.071,0.073,0.089,0.062,0.063,0.057,0.065,0.065,0.066,0.065,0.076,0.072,03/12/2024
INT-LL-09,Intermediate,Linckia laevigata,9.32,0.065,0.076,0.067,0.056,0.067,0.059,0.054,0.074,0.061,0.069,0.092,0.077,03/12/2024
INT-LL-10,Intermediate,Linckia laevigata,6.22,0.068,0.074,0.072,0.058,0.067,0.06,0.061,0.062,0.074,0.082,0.079,0.072,03/12/2024
INT-LL-11,Intermediate,Linckia laevigata,4.47,0.068,0.072,0.082,0.06,0.068,0.065,0.057,0.077,0.063,0.095,0.072,0.081,03/12/2024
INT-LL-12,Intermediate,Linckia laevigata,10.27,0.067,0.081,0.095,0.063,0.056,0.07,0.065,0.08,0.071,0.078,0.08,0.077,03/12/2024
INT-LL-13,Intermediate,Linckia laevigata,6.1,0.075,0.075,0.089,0.06,0.064,0.062,0.056,0.093,0.071,0.065,0.072,0.066,03/12/2024
INT-LL-14,Intermediate,Linckia laevigata,8.3,0.065,0.087,0.086,0.086,0.056,0.059,0.059,0.079,0.071,0.069,0.069,0.09,03/12/2024
INT-LL-15,Intermediate,Linckia laevigata,7.3,0.075,0.083,0.083,0.076,0.059,0.056,0.071,0.081,0.082,0.1,0.088,0.107,03/12/2024
INT-LL-16,Intermediate,Linckia laevigata,9.24,0.073,0.1,0.096,0.072,0.057,0.052,0.065,0.08,0.078,0.077,0.092,0.089,03/12/2024
INT-LL-17,Intermediate,Linckia laevigata,9.06,0.069,0.094,0.087,0.059,0.056,0.056,0.07,0.095,0.077,0.064,0.065,0.076,03/12/2024
INT-LL-18,Intermediate,Linckia laevigata,5.01,0.076,0.099,0.083,0.071,0.059,0.06,0.056,0.084,0.074,0.086,0.074,0.137,03/12/2024
INT-LL-19,Intermediate,Linckia laevigata,10.31,0.1,0.093,0.082,0.061,0.059,0.058,0.088,0.074,0.091,0.074,0.104,0.153,03/12/2024
INT-LL-20,Intermediate,Linckia laevigata,6.14,0.085,0.081,0.085,0.06,0.057,0.06,0.321,0.071,0.084,0.145,0.103,0.092,03/12/2024
PLD-AT-01,Polluted,Archaster typicus,1.13,0,0,0,0,0,0,0,0,0,0.056,0.054,0.056,03/17/2024
PLD-AT-02,Polluted,Archaster typicus,0.57,0,0,0,0.064,0.055,0,0.072,0.054,0.074,0.072,0.065,0.075,03/17/2024
PLD-AT-03,Polluted,Archaster typicus,0.46,0,0,0,0.054,0.041,0,0.066,0.062,0.057,0.055,0.066,0.067,03/17/2024
PLD-AT-04,Polluted,Archaster typicus,1.29,0,0,0,0.043,0.041,0,0.08,0.066,0.086,0.064,0.073,0.067,03/17/2024
PLD-AT-05,Polluted,Archaster typicus,0.56,0,0,0,0,0,0,0.09,0,0,0.069,0.067,0.079,03/17/2024
PLD-AT-06,Polluted,Archaster typicus,1.07,0,0,0,0.042,0.041,0,0.118,0.173,0.424,0.071,0.079,0.067,03/17/2024
PLD-AT-07,Polluted,Archaster typicus,0.41,0,0,0,0,0,0,0.08,0.523,0.142,0.092,0.089,0.13,03/17/2024
PLD-AT-08,Polluted,Archaster typicus,0.56,0,0,0,0,0,0,0.059,0.116,0.119,0.061,0.064,0.079,03/17/2024
PLD-AT-09,Polluted,Archaster typicus,1.43,0,0,0,0,0,0,0.112,0.064,0.122,0.074,0.064,0.21,03/17/2024
PLD-AT-10,Polluted,Archaster typicus,1.05,0,0,0,0,0,0,0.067,0.056,0,0.063,0.064,0.068,03/17/2024
PLD-AT-11,Polluted,Archaster typicus,0.59,0,0,0,0.07,0.051,0,0.075,0.065,0.08,0.067,0.063,0.079,03/17/2024
PLD-AT-12,Polluted,Archaster typicus,0.45,0,0,0,0,0,0,0.106,0.07,0,0.073,0.076,0.069,03/17/2024
PLD-AT-13,Polluted,Archaster typicus,1.4,0,0,0,0,0,0,0.066,0.079,0.071,0.061,0.083,0.07,03/17/2024
PLD-AT-14,Polluted,Archaster typicus,1.17,0,0,0,0.042,0.04,0,0.08,0.103,0.126,0.061,0.088,0.085,03/17/2024
PLD-AT-15,Polluted,Archaster typicus,1,0,0,0,0,0,0,0.071,0.069,0,0.072,0.076,0.089,03/17/2024
PLD-AT-16,Polluted,Archaster typicus,0.48,0,0,0,0.049,0.071,0,0.079,0.096,0.199,0.066,0.083,0.093,03/17/2024
PLD-AT-17,Polluted,Archaster typicus,0.39,0,0,0,0.071,0.076,0,0.219,0.099,0.073,0.074,0.08,0.073,03/17/2024
PLD-AT-18,Polluted,Archaster typicus,1.06,0,0,0,0,0,0,0.084,0.093,0,0.073,0.076,0.076,03/17/2024
PLD-AT-19,Polluted,Archaster typicus,0.48,0,0,0,0,0,0,0.156,0.089,0,0.114,0.371,0.088,03/17/2024
PLD-AT-20,Polluted,Archaster typicus,0.43,0,0,0,0.08,0.05,0,0.15,0.074,0.091,0.075,0.067,0.081,03/17/2024
PLD-PN-01,Polluted,Protoreaster nodosus,4.26,0.05,0.049,0.052,0.052,0.054,0.066,0.053,0.064,0.054,0.058,0.06,0.063,03/17/2024
PLD-PN-02,Polluted,Protoreaster nodosus,3.14,0.168,0.05,0.06,0.057,0.063,0.052,0.072,0.059,0.064,0.061,0.059,0.058,03/17/2024
PLD-PN-03,Polluted,Protoreaster nodosus,3.53,0.057,0.056,0.079,0.06,0.055,0.053,0.077,0.063,0.058,0.065,0.06,0.054,03/17/2024
PLD-PN-04,Polluted,Protoreaster nodosus,6.55,0.052,0.421,0.074,0.05,0.053,0.058,0.076,0.093,0.059,0.056,0.057,0.06,03/17/2024
PLD-PN-05,Polluted,Protoreaster nodosus,7.29,0.054,0.047,0.048,0.053,0.053,0.059,0.07,0.055,0.054,0.067,0.064,0.059,03/17/2024
PLD-PN-06,Polluted,Protoreaster nodosus,4.12,0.055,0.05,0.049,0.057,0.06,0.062,0.065,0.065,0.063,0.076,0.068,0.064,03/17/2024
PLD-PN-07,Polluted,Protoreaster nodosus,5.28,0,0,0,0.064,0,0,0.077,0.077,0.072,0.067,0.095,0.065,03/17/2024
PLD-PN-08,Polluted,Protoreaster nodosus,8.22,0.054,0.061,0.049,0.05,0.064,0.06,0.059,0.07,0.067,0.079,0.07,0.064,03/17/2024
PLD-PN-09,Polluted,Protoreaster nodosus,2.58,0.052,0.046,0.046,0.051,0.071,0.056,0.068,0.057,0.06,0.075,0.064,0.06,03/17/2024
PLD-PN-10,Polluted,Protoreaster nodosus,4.11,0.049,0.048,0.054,0.055,0.059,0.059,0.061,0.07,0.06,0.067,0.086,0.06,03/17/2024
PLD-PN-11,Polluted,Protoreaster nodosus,4.25,0.132,0.062,0.052,0.06,0.07,0.066,0.103,0.071,0.063,0.073,0.068,0.063,03/17/2024
PLD-PN-12,Polluted,Protoreaster nodosus,17.09,0,0,0,0.056,0.069,0.125,0.085,0.07,0.073,0.109,0.074,0.076,03/17/2024
PLD-PN-13,Polluted,Protoreaster nodosus,7.41,0.076,0.047,0.048,0.056,0.058,0.065,0.056,0.061,0.074,0.069,0.087,0.063,03/17/2024
PLD-PN-14,Polluted,Protoreaster nodosus,3.36,0,0,0,0.118,0.072,0,0.072,0.076,0.058,0.069,0.058,0.061,03/17/2024
PLD-PN-15,Polluted,Protoreaster nodosus,5.58,0.06,0.051,0.052,0.063,0.071,0.08,0.165,0.085,0.074,0.115,0.159,0.071,03/17/2024
